packet_section,artifact_path,section_role
dashboard,results/figures/frontier_execution_receipt_fill_execution_completion_dashboard.md,Top-level fill execution queue snapshot
dashboard_bridge_checklist,results/figures/frontier_execution_receipt_fill_execution_dashboard_bridge_checklist.md,Dashboard to runbook verification
meeteval_preflight_batch,results/figures/meeteval_cpwer_execution_preflight_batch.md,All-gold MeetEval cpWER execution preflight rollup
meeteval_preflight_batch_bridge_checklist,results/figures/meeteval_cpwer_execution_preflight_batch_bridge_checklist.md,Batch preflight to official execution receipt verification
meeteval_receipt_batch_scaffold,results/figures/meeteval_cpwer_execution_receipt_batch_scaffold.md,All-gold official cpWER execution receipt scaffold rollup
meeteval_receipt_batch_scaffold_bridge_checklist,results/figures/meeteval_cpwer_execution_receipt_batch_scaffold_bridge_checklist.md,Batch receipt scaffold to official execution receipt verification
meeteval_execution_status_batch,results/figures/meeteval_cpwer_execution_status_batch.md,All-gold MeetEval cpWER execution chain status rollup
meeteval_execution_status_batch_bridge_checklist,results/figures/meeteval_cpwer_execution_status_batch_bridge_checklist.md,Batch execution status to official execution receipt verification
meeteval_execution_status_batch_completion_summary,results/figures/meeteval_cpwer_execution_status_batch_completion_summary.md,Batch execution-chain completion rollup
meeteval_execution_status_batch_completion_summary_bridge_checklist,results/figures/meeteval_cpwer_execution_status_batch_completion_summary_bridge_checklist.md,Batch completion summary to batch handoff verification
meeteval_execution_status_batch_handoff,results/figures/meeteval_cpwer_execution_status_batch_handoff.md,Per-case official cpWER batch execution handoff
meeteval_execution_status_batch_handoff_bridge_checklist,results/figures/meeteval_cpwer_execution_status_batch_handoff_bridge_checklist.md,Batch handoff to official cpWER execution verification
meeteval_official_execution,results/figures/meeteval_cpwer_official_execution.md,Official MeetEval cpWER narrow dry-run execution result
frontier_bridge,results/figures/frontier_execution_receipt_fill_execution_frontier_bridge.md,Fill execution to breadth-first frontier queue bridge
frontier_bridge_checklist,results/figures/frontier_execution_receipt_fill_execution_frontier_bridge_checklist.md,Frontier bridge verification path
runbook,results/figures/frontier_execution_receipt_fill_execution_runbook_card.md,One-page first action execution card
milestone,results/figures/frontier_execution_receipt_fill_execution_milestone_card.md,Immediate completion boundary
entry,results/figures/frontier_execution_receipt_fill_execution_completion_summary.md,Queue completion status rollup
handoff,results/figures/frontier_execution_receipt_fill_execution_handoff.md,Per-frontier fill execution actions
operator,results/figures/frontier_execution_receipt_fill_execution_operator_brief.md,Plain-language operator next step
receipt_bridge,results/figures/frontier_execution_receipt_fill_execution_receipt_bridge.md,Bridge to execution receipt target
receipt_bridge_checklist,results/figures/frontier_execution_receipt_fill_execution_receipt_bridge_checklist.md,Ordered receipt writeback verification
evidence_receipt,results/figures/frontier_execution_receipt_fill_execution_evidence_receipt.md,Fill execution writeback closeout card
evidence_receipt_bridge_checklist,results/figures/frontier_execution_receipt_fill_execution_evidence_receipt_bridge_checklist.md,Handoff packet to evidence receipt verification
runbook_bridge_checklist,results/figures/frontier_execution_receipt_fill_execution_runbook_bridge_checklist.md,Runbook card to evidence receipt verification
phase_checkpoint,results/figures/frontier_execution_receipt_fill_execution_phase_checkpoint_card.md,Per-phase completion signal check
execution_receipt_bridge,results/figures/frontier_execution_receipt_fill_execution_execution_receipt_bridge.md,Evidence receipt to JSON execution receipt bridge
execution_receipt_bridge_checklist,results/figures/frontier_execution_receipt_fill_execution_execution_receipt_bridge_checklist.md,Ordered JSON receipt writeback verification
status,results/figures/frontier_execution_receipt_fill_execution_status.md,Unified fill execution status rollup
packet,results/figures/frontier_execution_receipt_fill_execution_packet.md,Earlier fill execution packet entrypoint
