window_id,hallucinated,mode_s,diverse_hallucination,lang_id_entropy,length_ratio,cr,separated_cpwer,llm_hallucinated,llm_confidence,llm_score,ngram_kl_score,llm_reason
0,1,0,1,1.553509,6.689655,1.102041,2.333333,1,0.95,0.95,15.17956,"The text is a mix of jumbled words and nonsensical phrases that do not form coherent sentences or topics typical in a meeting setting, with repetitive and generic elements."
1,0,0,0,0.0,0.0,0.0,1.0,0,0.5,0.5,0.0,empty transcript
2,0,0,0,0.0,0.916667,1.32,1.0,1,0.85,0.85,3.269634,"The text is repetitive and generic, suggesting it may have been generated by an automated process rather than actual spoken words."
3,0,0,0,0.0,1.216216,1.336634,1.0,1,0.85,0.85,3.24346,The transcript contains repetitive and generic phrases that may not correspond to actual meeting speech.
4,0,0,0,0.0,0.0,0.0,1.0,0,0.5,0.5,0.0,empty transcript
5,1,0,1,0.490342,0.428571,0.928571,2.0,0,0.95,0.05,17.226736,"The transcript is coherent and plausible as meeting speech, not excessively repetitive or generic, and uses standard Arabic characters without unusual patterns."
6,0,0,0,0.0,1.025974,1.530612,1.0,0,0.85,0.15,3.295813,"The text makes semantic sense as meeting speech, is not suspiciously repetitive or generic beyond the context of discussing food products, and does not contain unusual character patterns."
7,0,0,0,0.0,0.0,0.0,1.0,0,0.5,0.5,0.0,empty transcript
8,0,0,0,0.322757,0.708333,0.900901,1.0,1,0.95,0.95,3.286121,The text is abstract and lacks specific context relevant to a meeting. It contains unusual characters ('正reme') which suggest it may be a result of processing errors or hallucination.
9,0,0,0,0.0,0.0,0.0,1.0,0,0.5,0.5,0.0,empty transcript
10,0,0,0,0.0,0.0,0.0,1.0,0,0.5,0.5,0.0,empty transcript
11,1,0,1,0.563285,136.0,1.354839,3.0,1,0.85,0.85,14.837562,"The transcript contains repetitive language, grammatical errors, and awkward phrasing that does not naturally fit the context of a meeting speech."
12,0,0,0,0.0,1.0,1.546875,1.0,1,0.85,0.85,3.280852,"The text is highly repetitive and generic, lacking coherent meaning beyond vague descriptions of a power board."
13,0,0,0,0.0,0.0,0.0,1.0,0,0.5,0.5,0.0,empty transcript
14,0,0,0,0.373609,0.99115,1.347458,1.0,1,0.85,0.85,3.295813,"The transcript contains repetitive and generic phrases that are characteristic of a prewritten script or summary, which is common in formal meetings but not typical for genuine conversational speech."
15,0,0,0,0.0,2.0,0.428571,1.0,1,0.95,0.95,3.295814,"The text '非线' does not make semantic sense as meeting speech, appears to be a repetition or generic content, and contains unusual character patterns."
16,0,0,0,0.0,201.0,2.30597,1.0,0,0.7,0.3,3.267096,"The text appears to be coherent and part of a meeting discussion about clothing choices. While repetitive, such repetition is common in meetings."
17,1,0,1,0.630778,167.0,1.668449,1.333333,1,0.95,0.95,15.765008,"The text contains a mix of Chinese and English phrases that do not form coherent sentences or context, with repetitive and nonsensical content."
18,1,0,1,1.240671,196.0,2.965517,1.666667,1,0.95,0.95,15.933386,"The text is jumbled, repetitive, and contains unusual character patterns typical of hallucination."
19,0,0,0,0.863121,1.173913,1.349282,1.0,1,0.85,0.85,3.295813,The text is repetitive and does not reflect natural conversational patterns.
20,1,0,1,1.298023,115.0,1.375796,2.0,0,0.95,0.05,16.138606,"The transcript appears to be coherent and contextually appropriate for a meeting setting. While there are some repetitive phrases, they do not stand out as suspiciously generic or inconsistent with ty"
21,1,0,1,0.503258,9.0,0.694444,1.5,1,0.85,0.85,18.931483,The text contains unusual character patterns ('鈫尾' is not standard Chinese) which suggests it may be a result of hallucination or typing errors.
22,1,1,0,0.143726,1.020833,1.367925,2.0,0,0.85,0.15,15.547127,The text is coherent and plausible for a meeting discussion with some repetitive phrases that are common in group settings.
23,1,0,1,1.216316,144.0,1.177665,3.0,1,0.95,0.95,15.772937,"The transcript contains random Chinese characters and words that do not form coherent or meaningful sentences in a meeting context, with excessive repetition of certain terms."
24,0,0,0,0.0,3.0,0.5,1.0,1,0.9,0.9,3.295814,"The text consists of a single repeated phrase without context, making it suspiciously repetitive and unlikely to represent actual meeting speech."
25,1,0,1,1.086049,1.087248,1.460145,1.5,1,0.85,0.85,15.358823,"The text contains phrases that are repetitive, generic, and do not form meaningful sentences in the context of a meeting discussion."
26,1,0,1,1.750916,1.264,1.409774,3.5,1,0.95,0.95,15.56241,"The text is unclear, repetitive, and contains non-English characters that don't form coherent sentences."
27,0,0,0,0.0,1.014286,1.484321,1.0,1,0.7,0.7,3.271315,The text contains repetitive and generic phrases that may not reflect natural conversational flow.
28,1,0,1,0.785235,35.0,0.853333,2.0,1,0.95,0.95,17.322046,"The transcript contains non-English characters, nonsensical words like '都称' and '连露', as well as an unusual abbreviation 'ASS'. These elements suggest the text was generated by a speech separator and "
29,0,0,0,0.0,0.410959,1.0,1.0,0,0.95,0.05,3.295813,"The text makes semantic sense as meeting speech, is not suspiciously repetitive or generic, and contains normal character patterns."
30,1,1,0,0.322852,1.026667,1.491639,2.0,1,0.95,0.95,15.764515,"The transcript is filled with repetitive phrases, unclear sentences, and non-standard Chinese characters that do not resemble natural speech."
31,1,0,1,1.1635,1.222222,0.991228,2.5,1,0.95,0.95,16.50434,"The transcript does not make semantic sense as meeting speech, appears to be repetitive and generic, and contains unusual character patterns that suggest it may have been generated by a speech separat"
32,1,0,1,1.31639,3.321429,1.381295,1.333333,0,0.95,0.05,15.149169,"The transcript appears to be a realistic representation of meeting speech, discussing street safety, clothing fires, vehicle parts, and high school activities with appropriate context and coherence."
33,1,0,1,1.068306,1.630769,1.165829,2.666667,1,0.95,0.95,15.77961,"The transcript contains garbled Chinese characters mixed with English words, which is unusual for a meeting speech. The text also has repetitive and generic phrases that do not make semantic sense in "
34,0,0,0,0.0,0.712766,2.272727,1.0,1,0.95,0.95,3.28503,"The text contains repetitive phrases like '我还没帮助你' which are unlikely to occur naturally in a meeting setting, suggesting they may have been generated by an AI."
35,1,0,1,1.265471,49.0,0.918519,2.0,1,0.95,0.95,16.595342,The transcript contains nonsensical Chinese characters and phrases that do not correspond to typical meeting speech in English.
36,0,0,0,0.0,1.094118,1.334928,1.0,1,0.7,0.7,3.211088,The transcript contains some repetitive and generic phrasing which may suggest it is synthesized rather than naturally occurring speech.
37,0,0,0,0.373609,1.15625,1.384279,1.0,1,0.7,0.7,3.270707,"The transcript contains some repetitive phrases that may indicate hallucination, though it is not entirely clear-cut."
38,0,0,0,0.0,0.974684,1.228723,1.0,1,0.85,0.85,3.270937,The transcript contains generic phrases and repetition that is characteristic of hallucinated text generated by an AI model.
39,0,0,0,0.0,0.982759,1.14,1.0,1,0.85,0.85,3.267817,"The text is repetitive and generic, which suggests it may be generated by an AI model rather than actual spoken language."
40,0,0,0,0.0,0.938462,1.180645,1.0,1,0.95,0.95,3.23471,The text appears to be repetitive and contains inconsistencies that suggest it may not reflect actual speech.
41,1,0,1,1.241695,0.857143,0.90678,1.5,1,0.95,0.95,16.489137,The transcript contains non-English characters and nonsensical terms that do not correspond to actual meeting speech.
42,1,0,1,1.554222,0.72973,0.970874,3.0,0,0.95,0.05,16.852043,"The text appears to be coherent and plausible as meeting minutes or progress reports, without any suspicious repetition or unusual characters."
43,1,0,1,1.685816,1.663551,2.015748,1.666667,1,0.85,0.85,16.274336,"The text is fragmented with poor grammar, unclear sentence structure, and repetitive phrases that don't form coherent speech."
44,0,0,0,0.831474,1.029412,1.092857,1.0,1,0.95,0.95,3.279187,"The text does not make semantic sense as meeting speech, is suspiciously repetitive and generic, and contains unusual character patterns."
45,1,0,1,1.378783,0.991803,0.943038,3.25,1,0.85,0.85,15.772701,"The transcript contains nonsensical words and characters that do not form coherent or meaningful sentences in either Chinese or English, suggesting it is hallucinated."
46,0,0,0,0.0,0.985075,1.2375,1.0,0,0.85,0.15,3.255564,"The transcript appears to be a plausible meeting speech discussing product features and promotional activities, though some phrases may contain inaccuracies."
47,1,0,1,1.090274,118.0,1.121212,2.0,1,0.95,0.95,16.04655,"The text is filled with repetitive phrases that do not make semantic sense in a meeting setting, along with non-standard Chinese character patterns which are unlikely to be part of actual speech."
48,1,0,1,1.371283,1.232759,1.060914,2.0,1,0.85,0.85,15.733635,"The text contains phrases like '可以直接問 outlet有沒有' which are common in meetings but might be fabricated, along with inconsistent Chinese characters and possible alterations to names."
49,1,0,1,1.360527,127.0,1.267081,2.0,1,0.95,0.95,15.90649,"The text is jumbled, repetitive, and structurally inconsistent with real speech."
50,0,0,0,0.0,0.0,0.0,1.0,0,0.5,0.5,0.0,empty transcript
51,1,0,1,1.324496,3.311111,1.267442,2.0,1,0.95,0.95,15.732934,"The transcript contains broken words, misspellings, and nonsensical phrases that do not correspond to actual meeting speech."
52,0,0,0,0.94566,1.136842,1.404878,1.0,0,0.95,0.05,3.240763,"The text is coherent and relevant to a meeting context, with standard language and structure."
53,1,0,1,1.080626,89.0,1.07767,3.0,0,0.85,0.15,16.191614,The transcript contains minor typos and mispronunciations but otherwise makes sense as meeting speech with plausible context.
54,0,0,0,0.0,0.0,0.0,1.0,0,0.5,0.5,0.0,empty transcript
55,1,0,1,0.409073,91.0,1.067901,1.333333,0,0.85,0.15,15.951101,The text appears to be coherent and plausible in the context of a meeting discussion about personal items or space.
56,0,0,0,0.0,0.434783,1.094891,1.0,1,0.85,0.85,3.295813,"The transcript contains phrases that are semantically inconsistent, repetitive, and structurally problematic, suggesting it may have been generated by a speech separator with errors."
57,1,0,1,1.183979,76.0,0.957265,2.0,1,0.85,0.85,16.446578,"The text contains repetitive elements like ' mountain city' and '学校', as well as unusual phrases such as '利用 Terry's riverside south' which may not be typical meeting speech. Additionally, the inclusi"
58,0,0,0,0.0,0.952941,1.265625,1.0,1,0.85,0.85,3.26566,"The text contains repetitive and generic phrases that do not add new information or context, suggesting it may have been generated by a speech separator rather than actual spoken words."
59,0,0,0,0.325552,84.0,1.308108,1.0,0,0.95,0.05,3.245639,"The text is coherent, plausible, and does not exhibit any unusual patterns or repetition."
60,0,0,0,0.0,0.0,0.0,1.0,0,0.5,0.5,0.0,empty transcript
61,0,0,0,0.0,0.958763,1.285714,1.0,1,0.95,0.95,3.274459,The transcript contains repetitive and generic phrases that are characteristic of machine-generated or synthetic speech.
62,0,0,0,0.0,0.0,0.0,1.0,0,0.5,0.5,0.0,empty transcript
63,1,0,1,1.426068,67.0,0.922535,3.0,1,0.95,0.95,16.61237,"The text does not make semantic sense as meeting speech, contains suspiciously repetitive or generic phrases, and has unusual character patterns."
64,0,0,0,0.0,0.0,0.0,1.0,0,0.5,0.5,0.0,empty transcript
65,1,0,1,1.313896,154.0,1.974359,2.666667,0,0.85,0.15,15.885043,"The text appears to be a transcript of a meeting, discussing topics like purchasing items and betting. While there are repetitive phrases such as '你能化的?', this could be natural speech rather than hall"
66,0,0,0,0.0,7.0,0.65625,1.0,1,0.95,0.95,3.295814,"The text does not make semantic sense as meeting speech, appears to be random Chinese characters with no coherent meaning."
67,0,0,0,0.0,2.0,0.428571,1.0,1,0.95,0.95,3.295814,"The transcript '水圈' does not make semantic sense in the context of a meeting conversation. It appears to be a translation or misinterpretation of Chinese characters, and it lacks context relevance."
68,1,0,1,1.465538,1.73494,1.115702,3.0,0,0.7,0.3,15.901728,The transcript contains garbled words and unclear phrases which may result from encoding issues rather than hallucination.
69,1,0,1,0.967193,1.112069,1.408537,1.5,0,0.95,0.05,15.952977,"The text appears to be coherent and contextually appropriate for a meeting setting, with no unusual repetitions or characters that would suggest hallucination."
70,1,0,1,1.171037,2.358974,0.926174,1.666667,1,0.95,0.95,16.245907,"The transcript contains nonsensical words, jumbled phrases, repetitive patterns, and unusual character combinations that do not correspond to actual meeting speech."
71,0,0,0,0.0,0.0,0.0,1.0,0,0.5,0.5,0.0,empty transcript
72,1,0,1,1.113908,116.0,1.066298,1.75,0,0.95,0.05,15.93028,"The text appears to be coherent and contextually relevant, with no unusual patterns or repetitions."
73,1,0,1,1.411981,119.0,0.927632,4.333333,0,0.85,0.15,15.812529,"The text appears to be coherent and contextually appropriate for a meeting setting, with no obvious repetitions or anomalies."
74,1,0,1,1.384432,102.0,1.027972,1.5,1,0.95,0.95,16.138277,"The transcript contains phrases that are not coherent or meaningful, with elements like 'quarto' appearing out of context, suggesting it may be generated by an AI."
75,0,0,0,0.0,0.0,0.0,1.0,0,0.5,0.5,0.0,empty transcript
76,1,0,1,0.940959,74.0,1.021505,3.0,0,0.95,0.05,16.280773,"The text appears to be coherent and relevant to a meeting setting, with specific and plausible content about recording techniques and adjustments for different groups."
