pair_id,overlap_ratio,max_compression_ratio,hallucinated,cer_before,cer_naive,cer_anchored,anchored_stance,sem_dist_naive,sem_dist_anchored,hyp,naive,anchored
2,0.3,0.6562,0,0.142857,0.142857,0.428571,support,0.728011,1.315295,我多的两个小时,我多了一个小时,我两个小时多
2,0.1,0.6562,0,0.285714,0.285714,0.142857,neutral,0.316228,0.223607,我说的两个小时,我说的两个小时,我用了两个小时
2,0.0,0.6562,0,0.428571,0.428571,1.0,neutral,0.316228,0.316228,我说的两个小事,我说的两个小事,<原文>
1,0.0,0.8478,0,0.454545,0.636364,0.454545,oppose,0.3,1.044031,打他自己是一个刷斗音的自己,他自己是一个刷斗音的人。,打他自己是一个刷斗音的自己
3,0.1,0.7241,0,0.555556,0.555556,1.0,support,1.0,0.0,居不落分一一要,居不落分一要,一分耕耘一分收获
3,0.3,0.7925,0,0.666667,1.111111,0.888889,neutral,0.0,0.5,不落分一不上班的時間必定也往,不落分时，不上班的时间必定往后推。,不落分一不上班的时间必定也会
6,0.1,0.8889,1,1.111111,1.444444,1.777778,neutral,1.216553,1.118034,因为你可以找睡走几个人可以吃配的,因为你可以睡吧找几个人配的东西吃,因为你可以找个人一起睡觉，然后吃一些配餐。
4,0.3,0.8308,1,1.181818,0.727273,1.0,neutral,0.5,0.223607,我觉得玩睡玩气至长时间是一致的没错吧,我觉得长时间是一致的没错吧,我觉得玩气至长时间是一致的吧
2,0.1,0.8406,1,1.363636,2.090909,1.454545,oppose,0.2,0.282843,哦 忘记你在收一解释一下我多得两个小时了,哦，Remember 你是在回复解释一下吗？我多得两个小时了。,忘却你的回复，我已经多用了两个小时。
1,0.3,0.8514,1,1.5,1.7,1.7,oppose,0.2,0.223607,打他自己是一个发导应的你下半的时间必定也网,打他自己是一个发信息的你半会儿必定也会上网,打你自己是一个发散的人，下半段时间必定会上网
5,0.0,0.8451,1,1.625,1.75,1.5,support,0.0,0.538516,把蜜早起也算不烟了既然你是晚上睡完起地地,把早起也算不烟了，既然你睡完就起了床。,把美早起也算不烟了既然你是晚上睡觉起床
7,0.1,0.8533,1,1.777778,2.111111,2.111111,neutral,0.0,0.0,因为你可以为了身体界的方向好 我先聊完睡完起,因为你可以为了身体界的方向好 先聊天 睡觉 起床,因为你可以为了身体界的正面方向好，我先聊完，然后睡了。
