finding_id,short_name,claim,test_type,n,raw_p,bh_corrected_p,survives_q005,MDE_80pct_power,mde_units,effect,data_source,note
F01,separation_tax_low_overlap,Separation hurts ASR at low overlap (not universally beneficial),one-sample t (mean delta_cer<0),80,0.0111261,0.0315239,True,0.74807,dCER,mean dCER=-0.615 (mixed-sep),separation_tax/phase_curve.csv,
F02,gold_benefit_separation,NoOverlap/Heavy/Opposite benefit from separated ASR,paired t (mixed-sep>0),3,0.039068,0.0830194,False,0.483705,dCER,mean dCER=0.303,tables/cer_results.csv,n=3 gold cases; underpowered
F03,repetition_hallucination_mechanism,Low-overlap separation tax driven by repetition/insertion hallucination,paired t (rep_sep-rep_mixed>0),80,0.0782669,0.114736,False,9.69218,rep-count,mean dRep=4.89,separation_tax/phase_curve.csv,
F04,speaker_swap_not_dominant,Speaker swap is not the dominant error source in the 5 gold cases,insufficient data,0,nan,nan,False,nan,n/a,n/a,tables/speaker_cer_results.csv,"Descriptive error-composition claim; no per-error-count hypothesis test possible (n=5 cases, aggregate counts)"
F05,router_v1_fails_synthetic,Overlap-only router v1 fails on synthetic silver validation,paired t (v1-oracle>0),25,0.102484,0.116148,False,0.602263,dCER,mean regret=0.269,tables/synthetic_cer_results.csv + synthetic_routing_decisions.csv,
F06,router_v2_improves_synthetic,Feature router v2 improves robustness over v1 on synthetic,paired t (v1-v2>0),25,0.193121,0.205191,False,0.606791,dCER,mean dCER=0.183,tables/synthetic_cer_results.csv + routing_decisions_v2.csv,
F07,risk_aware_not_best_cer,"Risk-aware selector is a deployability layer, not the best-CER result",paired t (risk_aware-oracle>0),5,0.0889058,0.114736,False,0.0331125,dCER,mean regret=0.015,tables/cer_results.csv + risk_aware_selection.csv,"n=5 gold; underpowered, mostly zero regrets"
F08,synthetic_silver_label,"Synthetic benchmarks are silver robustness validation, not gold evaluation",insufficient data,0,nan,nan,False,nan,n/a,n/a,docs/project_state.md,Labeling/methodology claim; not an inferential hypothesis
F09,llm_rag_optional,"LLM/RAG is optional future extension, not core quantitative contribution",insufficient data,0,nan,nan,False,nan,n/a,n/a,docs/project_state.md,Methodology statement; no quantitative hypothesis to test
F10,compute_cascade_base_better,Base model eliminates the separation tax (base<tiny) in the compute cascade,paired t (tiny-base>0),25,2.10424e-07,1.7886e-06,True,0.113643,dCER,mean dCER=0.267,runtime_cascade/cascade_curve.csv,
F11,noise_robust_gate_cure,Flatness+rel-energy gate recovers the separation-hallucination cure under noise,paired t (sep-gate>0),192,0.034935,0.0830194,False,0.492219,dCER,mean dCER=0.319,noise_robust_gate/gate_curve.csv,
F12,speaker_gate_moderate_babble,Speaker-conditioned gate beats raw separation at moderate babble (5-10 dB),paired t (sep-speaker>0),32,0.0944885,0.114736,False,1.30404,dCER,mean dCER=0.605,speaker_conditioned_gate/speaker_gate_curve.csv,
F13,gate_selector_falsified,Reference-free gate selector does NOT beat always-speaker (H1 falsified),paired t (selector-speaker>0),288,0.0625245,0.106292,False,0.168625,dCER,mean dCER=0.092,gate_selector/selector_curve.csv,
F14,emotion_no_separation_tax,Separation helps (not hurts) emotion at low/mid overlap (no emotion tax),one-sample t (emotion_benefit>0),16,0.00188467,0.00640789,True,0.0917041,emo-benefit,mean emo_benefit=0.105,emotion_separation_tax/crosslink_curve_a015.csv,
F15,arousal_null_predictor,Arousal does NOT predict ASR difficulty (null result),Pearson r two-sided (H0: r=0),120,0.985124,0.985124,True,0.253366,|r|,r=0.002,arousal_asr_probe/arousal_probe_curve.csv,NULL finding: 'supported' = not refuted (p>0.05); excluded from BH rejection family
F16,lexical_tax_cer_reproduction,CER separation tax reproduced at low/mid overlap (lexical-emotion study),one-sample t (cer_benefit<0),16,0.08748,0.114736,False,2.18757,cer-benefit,mean cer_benefit=-1.039,lexical_emotion_tax/lexical_tax_curve.csv,
F17,llm_repair_net_harm,Local-LLM GER repair net-harms CER (over-correction),paired t (after-before>0),16,0.300687,0.300687,False,0.181546,dCER,mean dCER=0.032,llm_asr_critic/critic_curve.csv,
F18,objective_aware_decoupling,Objective-aware decoupled routing cuts emotion distortion vs coupled switch,paired t (coupled-decoupled>0),40,0.000662152,0.00281415,True,0.0498633,emo-distortion,mean dEmo=0.060,objective_aware_routing/routing_curve.csv,
F19,emotion_fidelity_meter_corr,Reference-free emotion-fidelity meter falls as separation degrades (r<0 with alpha),Pearson r one-sided (r<0),192,1.17684e-14,2.00062e-13,True,0.20101,|r|,r=-0.514,emotion_fidelity_meter/fidelity_curve.csv,
F20,gate_emotion_cost_speaker_least,Speaker gate damages emotion less than flatness gate (least emotion-damaging cure),paired t (flatness_cost-speaker_cost>0),32,0.0563915,0.106292,False,0.0876977,emo-cost,mean dCost=0.049,gate_emotion_cost/gate_emotion_curve.csv,
F21,causal_confident_attractor,Catastrophic separation-tax routes decode with higher decoder confidence (confident attractor),Welch two-sample t (cat>clean),66,7.92406e-06,4.4903e-05,True,0.197437,avg_logprob,"mean dLogprob=0.405 (n_cat=26,n_clean=40)",causal_hallucination_probe/probe_rows.csv,
