scope,strategy,label,average_cer,average_compute_cost,relative_cost_vs_fixed_separated,automatic_coverage,manual_review_count,sample_count,case_count,selected_method_mix,notes
ALL,fixed_mixed_whisper,synthetic/silver,0.465715,0.674,0.608106,1.0,0,100,100,mixed_whisper:100,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
ALL,fixed_separated_whisper,synthetic/silver,0.401869,1.10836,1.0,1.0,0,100,100,separated_whisper:100,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
ALL,fixed_separated_whisper_cleaned,synthetic/silver,0.179021,1.10836,1.0,1.0,0,100,100,separated_whisper_cleaned:100,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
ALL,router_v2_synthetic_costed,synthetic/silver,0.285187,0.78127,0.704888,1.0,0,100,100,mixed_whisper:60;separated_whisper:40,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
ALL,budget_cascade,synthetic/silver,0.367582,0.94756,0.854921,1.0,0,100,100,mixed_whisper:40;separated_whisper:20;separated_whisper_cleaned:40,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
ALL,cleaned_preferred_cascade,synthetic/silver,0.249877,1.04816,0.945686,1.0,0,100,100,mixed_whisper:38;separated_whisper:17;separated_whisper_cleaned:45,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
DEV,fixed_mixed_whisper,synthetic/silver,0.4867,0.74366,0.735016,1.0,0,50,50,mixed_whisper:50,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
DEV,fixed_separated_whisper,synthetic/silver,0.367072,1.01176,1.0,1.0,0,50,50,separated_whisper:50,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
DEV,fixed_separated_whisper_cleaned,synthetic/silver,0.172804,1.01176,1.0,1.0,0,50,50,separated_whisper_cleaned:50,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
DEV,router_v2_synthetic_costed,synthetic/silver,0.235049,0.76668,0.757769,1.0,0,50,50,mixed_whisper:30;separated_whisper:20,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
DEV,budget_cascade,synthetic/silver,0.4201,0.97074,0.959457,1.0,0,50,50,mixed_whisper:20;separated_whisper:10;separated_whisper_cleaned:20,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
DEV,cleaned_preferred_cascade,synthetic/silver,0.225832,0.97074,0.959457,1.0,0,50,50,mixed_whisper:20;separated_whisper:8;separated_whisper_cleaned:22,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
