case_id,method,direct_speaker_macro_cer,swapped_speaker_macro_cer,cpcer_lite,best_mapping,speaker_assignment_gap,observation
HeavyOverlap,separated_whisper,0.110821,0.92388,0.110821,direct,0.0,"cpCER-lite compares direct and swapped speaker assignments and keeps the better one. Direct mapping is already best, suggesting speaker assignment is consistent."
HeavyOverlap,separated_whisper_cleaned,0.146535,0.908955,0.146535,direct,0.0,"cpCER-lite compares direct and swapped speaker assignments and keeps the better one. Direct mapping is already best, suggesting speaker assignment is consistent. Cleaning removed 1 segments, which can affect speaker content balance."
LightOverlap,separated_whisper,0.19417,1.017789,0.19417,direct,0.0,"cpCER-lite compares direct and swapped speaker assignments and keeps the better one. Direct mapping is already best, suggesting speaker assignment is consistent."
LightOverlap,separated_whisper_cleaned,0.135164,0.928692,0.135164,direct,0.0,"cpCER-lite compares direct and swapped speaker assignments and keeps the better one. Direct mapping is already best, suggesting speaker assignment is consistent. Cleaning removed 6 segments, which can affect speaker content balance."
MidOverlap,separated_whisper,0.175908,0.975303,0.175908,direct,0.0,"cpCER-lite compares direct and swapped speaker assignments and keeps the better one. Direct mapping is already best, suggesting speaker assignment is consistent."
MidOverlap,separated_whisper_cleaned,0.16862,0.905274,0.16862,direct,0.0,"cpCER-lite compares direct and swapped speaker assignments and keeps the better one. Direct mapping is already best, suggesting speaker assignment is consistent. Cleaning removed 4 segments, which can affect speaker content balance."
NoOverlap,separated_whisper,0.054312,0.91813,0.054312,direct,0.0,"cpCER-lite compares direct and swapped speaker assignments and keeps the better one. Direct mapping is already best, suggesting speaker assignment is consistent."
NoOverlap,separated_whisper_cleaned,0.089278,0.899612,0.089278,direct,0.0,"cpCER-lite compares direct and swapped speaker assignments and keeps the better one. Direct mapping is already best, suggesting speaker assignment is consistent. Cleaning removed 1 segments, which can affect speaker content balance."
OppositeOverlap,separated_whisper,0.047479,0.909664,0.047479,direct,0.0,"cpCER-lite compares direct and swapped speaker assignments and keeps the better one. Direct mapping is already best, suggesting speaker assignment is consistent."
OppositeOverlap,separated_whisper_cleaned,0.083193,0.894958,0.083193,direct,0.0,"cpCER-lite compares direct and swapped speaker assignments and keeps the better one. Direct mapping is already best, suggesting speaker assignment is consistent. Cleaning removed 1 segments, which can affect speaker content balance."
