sample_id,tier,split,overlap_level,method,reference_path,hypothesis_path,reference_length,hypothesis_length,edit_distance,cer
SyntheticNoOverlap_dev_01,SyntheticNoOverlap,dev,0,mixed_whisper,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_01_silver_reference.json,results/synthetic_overlap_v2/transcripts_raw/SyntheticNoOverlap_dev_01_mixed_whisper.json,32,32,1,0.03125
SyntheticNoOverlap_dev_01,SyntheticNoOverlap,dev,0,separated_whisper,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_01_silver_reference.json,results/synthetic_overlap_v2/transcripts_speaker/SyntheticNoOverlap_dev_01_separated_speaker_transcript.json,32,32,0,0.0
SyntheticNoOverlap_dev_01,SyntheticNoOverlap,dev,0,separated_whisper_cleaned,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_01_silver_reference.json,results/synthetic_overlap_v2/transcripts_postprocessed/SyntheticNoOverlap_dev_01_separated_speaker_transcript_cleaned.json,32,32,0,0.0
SyntheticNoOverlap_dev_02,SyntheticNoOverlap,dev,0,mixed_whisper,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_02_silver_reference.json,results/synthetic_overlap_v2/transcripts_raw/SyntheticNoOverlap_dev_02_mixed_whisper.json,26,30,11,0.423077
SyntheticNoOverlap_dev_02,SyntheticNoOverlap,dev,0,separated_whisper,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_02_silver_reference.json,results/synthetic_overlap_v2/transcripts_speaker/SyntheticNoOverlap_dev_02_separated_speaker_transcript.json,26,150,138,5.307692
SyntheticNoOverlap_dev_02,SyntheticNoOverlap,dev,0,separated_whisper_cleaned,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_02_silver_reference.json,results/synthetic_overlap_v2/transcripts_postprocessed/SyntheticNoOverlap_dev_02_separated_speaker_transcript_cleaned.json,26,25,23,0.884615
SyntheticNoOverlap_dev_03,SyntheticNoOverlap,dev,0,mixed_whisper,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_03_silver_reference.json,results/synthetic_overlap_v2/transcripts_raw/SyntheticNoOverlap_dev_03_mixed_whisper.json,20,16,4,0.2
SyntheticNoOverlap_dev_03,SyntheticNoOverlap,dev,0,separated_whisper,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_03_silver_reference.json,results/synthetic_overlap_v2/transcripts_speaker/SyntheticNoOverlap_dev_03_separated_speaker_transcript.json,20,20,0,0.0
SyntheticNoOverlap_dev_03,SyntheticNoOverlap,dev,0,separated_whisper_cleaned,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_03_silver_reference.json,results/synthetic_overlap_v2/transcripts_postprocessed/SyntheticNoOverlap_dev_03_separated_speaker_transcript_cleaned.json,20,20,0,0.0
SyntheticNoOverlap_dev_04,SyntheticNoOverlap,dev,0,mixed_whisper,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_04_silver_reference.json,results/synthetic_overlap_v2/transcripts_raw/SyntheticNoOverlap_dev_04_mixed_whisper.json,18,10,9,0.5
SyntheticNoOverlap_dev_04,SyntheticNoOverlap,dev,0,separated_whisper,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_04_silver_reference.json,results/synthetic_overlap_v2/transcripts_speaker/SyntheticNoOverlap_dev_04_separated_speaker_transcript.json,18,18,2,0.111111
SyntheticNoOverlap_dev_04,SyntheticNoOverlap,dev,0,separated_whisper_cleaned,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_04_silver_reference.json,results/synthetic_overlap_v2/transcripts_postprocessed/SyntheticNoOverlap_dev_04_separated_speaker_transcript_cleaned.json,18,18,2,0.111111
SyntheticNoOverlap_dev_05,SyntheticNoOverlap,dev,0,mixed_whisper,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_05_silver_reference.json,results/synthetic_overlap_v2/transcripts_raw/SyntheticNoOverlap_dev_05_mixed_whisper.json,25,26,1,0.04
SyntheticNoOverlap_dev_05,SyntheticNoOverlap,dev,0,separated_whisper,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_05_silver_reference.json,results/synthetic_overlap_v2/transcripts_speaker/SyntheticNoOverlap_dev_05_separated_speaker_transcript.json,25,25,0,0.0
SyntheticNoOverlap_dev_05,SyntheticNoOverlap,dev,0,separated_whisper_cleaned,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_05_silver_reference.json,results/synthetic_overlap_v2/transcripts_postprocessed/SyntheticNoOverlap_dev_05_separated_speaker_transcript_cleaned.json,25,25,0,0.0
SyntheticNoOverlap_dev_06,SyntheticNoOverlap,dev,0,mixed_whisper,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_06_silver_reference.json,results/synthetic_overlap_v2/transcripts_raw/SyntheticNoOverlap_dev_06_mixed_whisper.json,21,21,0,0.0
SyntheticNoOverlap_dev_06,SyntheticNoOverlap,dev,0,separated_whisper,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_06_silver_reference.json,results/synthetic_overlap_v2/transcripts_speaker/SyntheticNoOverlap_dev_06_separated_speaker_transcript.json,21,20,3,0.142857
SyntheticNoOverlap_dev_06,SyntheticNoOverlap,dev,0,separated_whisper_cleaned,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_06_silver_reference.json,results/synthetic_overlap_v2/transcripts_postprocessed/SyntheticNoOverlap_dev_06_separated_speaker_transcript_cleaned.json,21,20,3,0.142857
SyntheticNoOverlap_dev_07,SyntheticNoOverlap,dev,0,mixed_whisper,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_07_silver_reference.json,results/synthetic_overlap_v2/transcripts_raw/SyntheticNoOverlap_dev_07_mixed_whisper.json,18,18,0,0.0
SyntheticNoOverlap_dev_07,SyntheticNoOverlap,dev,0,separated_whisper,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_07_silver_reference.json,results/synthetic_overlap_v2/transcripts_speaker/SyntheticNoOverlap_dev_07_separated_speaker_transcript.json,18,18,0,0.0
SyntheticNoOverlap_dev_07,SyntheticNoOverlap,dev,0,separated_whisper_cleaned,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_07_silver_reference.json,results/synthetic_overlap_v2/transcripts_postprocessed/SyntheticNoOverlap_dev_07_separated_speaker_transcript_cleaned.json,18,18,0,0.0
SyntheticNoOverlap_dev_08,SyntheticNoOverlap,dev,0,mixed_whisper,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_08_silver_reference.json,results/synthetic_overlap_v2/transcripts_raw/SyntheticNoOverlap_dev_08_mixed_whisper.json,20,18,4,0.2
SyntheticNoOverlap_dev_08,SyntheticNoOverlap,dev,0,separated_whisper,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_08_silver_reference.json,results/synthetic_overlap_v2/transcripts_speaker/SyntheticNoOverlap_dev_08_separated_speaker_transcript.json,20,20,0,0.0
SyntheticNoOverlap_dev_08,SyntheticNoOverlap,dev,0,separated_whisper_cleaned,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_08_silver_reference.json,results/synthetic_overlap_v2/transcripts_postprocessed/SyntheticNoOverlap_dev_08_separated_speaker_transcript_cleaned.json,20,20,0,0.0
SyntheticNoOverlap_dev_09,SyntheticNoOverlap,dev,0,mixed_whisper,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_09_silver_reference.json,results/synthetic_overlap_v2/transcripts_raw/SyntheticNoOverlap_dev_09_mixed_whisper.json,14,4,11,0.785714
SyntheticNoOverlap_dev_09,SyntheticNoOverlap,dev,0,separated_whisper,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_09_silver_reference.json,results/synthetic_overlap_v2/transcripts_speaker/SyntheticNoOverlap_dev_09_separated_speaker_transcript.json,14,14,0,0.0
SyntheticNoOverlap_dev_09,SyntheticNoOverlap,dev,0,separated_whisper_cleaned,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_09_silver_reference.json,results/synthetic_overlap_v2/transcripts_postprocessed/SyntheticNoOverlap_dev_09_separated_speaker_transcript_cleaned.json,14,14,0,0.0
SyntheticNoOverlap_dev_10,SyntheticNoOverlap,dev,0,mixed_whisper,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_10_silver_reference.json,results/synthetic_overlap_v2/transcripts_raw/SyntheticNoOverlap_dev_10_mixed_whisper.json,31,30,7,0.225806
SyntheticNoOverlap_dev_10,SyntheticNoOverlap,dev,0,separated_whisper,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_10_silver_reference.json,results/synthetic_overlap_v2/transcripts_speaker/SyntheticNoOverlap_dev_10_separated_speaker_transcript.json,31,196,189,6.096774
SyntheticNoOverlap_dev_10,SyntheticNoOverlap,dev,0,separated_whisper_cleaned,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_10_silver_reference.json,results/synthetic_overlap_v2/transcripts_postprocessed/SyntheticNoOverlap_dev_10_separated_speaker_transcript_cleaned.json,31,21,25,0.806452
SyntheticNoOverlap_test_01,SyntheticNoOverlap,test,0,mixed_whisper,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_test_01_silver_reference.json,results/synthetic_overlap_v2/transcripts_raw/SyntheticNoOverlap_test_01_mixed_whisper.json,35,27,8,0.228571
SyntheticNoOverlap_test_01,SyntheticNoOverlap,test,0,separated_whisper,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_test_01_silver_reference.json,results/synthetic_overlap_v2/transcripts_speaker/SyntheticNoOverlap_test_01_separated_speaker_transcript.json,35,139,110,3.142857
SyntheticNoOverlap_test_01,SyntheticNoOverlap,test,0,separated_whisper_cleaned,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_test_01_silver_reference.json,results/synthetic_overlap_v2/transcripts_postprocessed/SyntheticNoOverlap_test_01_separated_speaker_transcript_cleaned.json,35,35,16,0.457143
SyntheticNoOverlap_test_02,SyntheticNoOverlap,test,0,mixed_whisper,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_test_02_silver_reference.json,results/synthetic_overlap_v2/transcripts_raw/SyntheticNoOverlap_test_02_mixed_whisper.json,25,25,2,0.08
SyntheticNoOverlap_test_02,SyntheticNoOverlap,test,0,separated_whisper,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_test_02_silver_reference.json,results/synthetic_overlap_v2/transcripts_speaker/SyntheticNoOverlap_test_02_separated_speaker_transcript.json,25,25,20,0.8
SyntheticNoOverlap_test_02,SyntheticNoOverlap,test,0,separated_whisper_cleaned,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_test_02_silver_reference.json,results/synthetic_overlap_v2/transcripts_postprocessed/SyntheticNoOverlap_test_02_separated_speaker_transcript_cleaned.json,25,25,20,0.8
SyntheticNoOverlap_test_03,SyntheticNoOverlap,test,0,mixed_whisper,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_test_03_silver_reference.json,results/synthetic_overlap_v2/transcripts_raw/SyntheticNoOverlap_test_03_mixed_whisper.json,30,32,8,0.266667
SyntheticNoOverlap_test_03,SyntheticNoOverlap,test,0,separated_whisper,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_test_03_silver_reference.json,results/synthetic_overlap_v2/transcripts_speaker/SyntheticNoOverlap_test_03_separated_speaker_transcript.json,30,29,1,0.033333
SyntheticNoOverlap_test_03,SyntheticNoOverlap,test,0,separated_whisper_cleaned,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_test_03_silver_reference.json,results/synthetic_overlap_v2/transcripts_postprocessed/SyntheticNoOverlap_test_03_separated_speaker_transcript_cleaned.json,30,29,1,0.033333
SyntheticNoOverlap_test_04,SyntheticNoOverlap,test,0,mixed_whisper,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_test_04_silver_reference.json,results/synthetic_overlap_v2/transcripts_raw/SyntheticNoOverlap_test_04_mixed_whisper.json,19,19,1,0.052632
SyntheticNoOverlap_test_04,SyntheticNoOverlap,test,0,separated_whisper,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_test_04_silver_reference.json,results/synthetic_overlap_v2/transcripts_speaker/SyntheticNoOverlap_test_04_separated_speaker_transcript.json,19,19,1,0.052632
SyntheticNoOverlap_test_04,SyntheticNoOverlap,test,0,separated_whisper_cleaned,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_test_04_silver_reference.json,results/synthetic_overlap_v2/transcripts_postprocessed/SyntheticNoOverlap_test_04_separated_speaker_transcript_cleaned.json,19,19,1,0.052632
SyntheticNoOverlap_test_05,SyntheticNoOverlap,test,0,mixed_whisper,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_test_05_silver_reference.json,results/synthetic_overlap_v2/transcripts_raw/SyntheticNoOverlap_test_05_mixed_whisper.json,20,24,8,0.4
SyntheticNoOverlap_test_05,SyntheticNoOverlap,test,0,separated_whisper,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_test_05_silver_reference.json,results/synthetic_overlap_v2/transcripts_speaker/SyntheticNoOverlap_test_05_separated_speaker_transcript.json,20,20,4,0.2
SyntheticNoOverlap_test_05,SyntheticNoOverlap,test,0,separated_whisper_cleaned,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_test_05_silver_reference.json,results/synthetic_overlap_v2/transcripts_postprocessed/SyntheticNoOverlap_test_05_separated_speaker_transcript_cleaned.json,20,20,4,0.2
SyntheticNoOverlap_test_06,SyntheticNoOverlap,test,0,mixed_whisper,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_test_06_silver_reference.json,results/synthetic_overlap_v2/transcripts_raw/SyntheticNoOverlap_test_06_mixed_whisper.json,26,17,11,0.423077
SyntheticNoOverlap_test_06,SyntheticNoOverlap,test,0,separated_whisper,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_test_06_silver_reference.json,results/synthetic_overlap_v2/transcripts_speaker/SyntheticNoOverlap_test_06_separated_speaker_transcript.json,26,26,1,0.038462
SyntheticNoOverlap_test_06,SyntheticNoOverlap,test,0,separated_whisper_cleaned,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_test_06_silver_reference.json,results/synthetic_overlap_v2/transcripts_postprocessed/SyntheticNoOverlap_test_06_separated_speaker_transcript_cleaned.json,26,26,1,0.038462
SyntheticNoOverlap_test_07,SyntheticNoOverlap,test,0,mixed_whisper,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_test_07_silver_reference.json,results/synthetic_overlap_v2/transcripts_raw/SyntheticNoOverlap_test_07_mixed_whisper.json,24,9,15,0.625
SyntheticNoOverlap_test_07,SyntheticNoOverlap,test,0,separated_whisper,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_test_07_silver_reference.json,results/synthetic_overlap_v2/transcripts_speaker/SyntheticNoOverlap_test_07_separated_speaker_transcript.json,24,24,7,0.291667
SyntheticNoOverlap_test_07,SyntheticNoOverlap,test,0,separated_whisper_cleaned,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_test_07_silver_reference.json,results/synthetic_overlap_v2/transcripts_postprocessed/SyntheticNoOverlap_test_07_separated_speaker_transcript_cleaned.json,24,24,7,0.291667
SyntheticNoOverlap_test_08,SyntheticNoOverlap,test,0,mixed_whisper,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_test_08_silver_reference.json,results/synthetic_overlap_v2/transcripts_raw/SyntheticNoOverlap_test_08_mixed_whisper.json,18,17,4,0.222222
