sample_id,tier,split,strategy,selected_method,decision_rule,mixed_segments_count,separated_segments_count,cleaned_segments_count,mixed_text_length,separated_text_length,cleaned_text_length,text_length_ratio,repetition_count,duplicate_removed_count,mixed_runtime_sec,separated_runtime_sec,cleaned_runtime_sec,runtime_ratio,cleaned_closer_to_mixed,notes
SyntheticNoOverlap_dev_01,SyntheticNoOverlap,dev,fixed_mixed_whisper,mixed_whisper,fixed baseline: always choose mixed_whisper,2,2,2,33,57,57,1.727273,0,0,1.932,1.129,1.129,0.584369,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_01,SyntheticNoOverlap,dev,fixed_separated_whisper,separated_whisper,fixed baseline: always choose separated_whisper,2,2,2,33,57,57,1.727273,0,0,1.932,1.129,1.129,0.584369,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_01,SyntheticNoOverlap,dev,fixed_separated_whisper_cleaned,separated_whisper_cleaned,fixed baseline: always choose separated_whisper_cleaned,2,2,2,33,57,57,1.727273,0,0,1.932,1.129,1.129,0.584369,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_01,SyntheticNoOverlap,dev,oracle_best,oracle_best,oracle upper bound: choose the lowest CER method per sample.,2,2,2,33,57,57,1.727273,0,0,1.932,1.129,1.129,0.584369,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_01,SyntheticNoOverlap,dev,v1_overlap_only,separated_whisper,"if overlap_level == 0, choose separated_whisper",2,2,2,33,57,57,1.727273,0,0,1.932,1.129,1.129,0.584369,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_01,SyntheticNoOverlap,dev,length_ratio_only,mixed_whisper,separated transcript is length-inflated; fall back to mixed_whisper,2,2,2,33,57,57,1.727273,0,0,1.932,1.129,1.129,0.584369,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_01,SyntheticNoOverlap,dev,repetition_only,separated_whisper,"repetition_count is low; reuse v1 rule (if overlap_level == 0, choose separated_whisper)",2,2,2,33,57,57,1.727273,0,0,1.932,1.129,1.129,0.584369,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_01,SyntheticNoOverlap,dev,removed_count_only,separated_whisper,"duplicate_removed_count is low; reuse v1 rule (if overlap_level == 0, choose separated_whisper)",2,2,2,33,57,57,1.727273,0,0,1.932,1.129,1.129,0.584369,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_01,SyntheticNoOverlap,dev,length_plus_repetition,mixed_whisper,length inflation or repetition is high; fall back to mixed_whisper,2,2,2,33,57,57,1.727273,0,0,1.932,1.129,1.129,0.584369,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_01,SyntheticNoOverlap,dev,v2_full_features,mixed_whisper,overlap_level==0 short transcript; choose mixed_whisper,2,2,2,33,57,57,1.727273,0,0,1.932,1.129,1.129,0.584369,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_02,SyntheticNoOverlap,dev,fixed_mixed_whisper,mixed_whisper,fixed baseline: always choose mixed_whisper,2,28,3,30,513,63,17.1,25,25,1.083,7.056,7.056,6.515235,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
