sample_id,tier,overlap_level,method,reference_path,hypothesis_path,reference_length,hypothesis_length,edit_distance,cer
SyntheticNoOverlap_01,SyntheticNoOverlap,0,mixed_whisper,resources/synthetic_overlap/references/SyntheticNoOverlap_01_silver_reference.json,results/synthetic_transcripts_raw/SyntheticNoOverlap_01_mixed_whisper.json,32,32,1,0.03125
SyntheticNoOverlap_01,SyntheticNoOverlap,0,separated_whisper,resources/synthetic_overlap/references/SyntheticNoOverlap_01_silver_reference.json,results/synthetic_transcripts_speaker/SyntheticNoOverlap_01_separated_speaker_transcript.json,32,32,0,0.0
SyntheticNoOverlap_01,SyntheticNoOverlap,0,separated_whisper_cleaned,resources/synthetic_overlap/references/SyntheticNoOverlap_01_silver_reference.json,results/synthetic_transcripts_postprocessed/SyntheticNoOverlap_01_separated_speaker_transcript_cleaned.json,32,32,0,0.0
SyntheticNoOverlap_02,SyntheticNoOverlap,0,mixed_whisper,resources/synthetic_overlap/references/SyntheticNoOverlap_02_silver_reference.json,results/synthetic_transcripts_raw/SyntheticNoOverlap_02_mixed_whisper.json,26,30,4,0.153846
SyntheticNoOverlap_02,SyntheticNoOverlap,0,separated_whisper,resources/synthetic_overlap/references/SyntheticNoOverlap_02_silver_reference.json,results/synthetic_transcripts_speaker/SyntheticNoOverlap_02_separated_speaker_transcript.json,26,150,138,5.307692
SyntheticNoOverlap_02,SyntheticNoOverlap,0,separated_whisper_cleaned,resources/synthetic_overlap/references/SyntheticNoOverlap_02_silver_reference.json,results/synthetic_transcripts_postprocessed/SyntheticNoOverlap_02_separated_speaker_transcript_cleaned.json,26,25,23,0.884615
SyntheticNoOverlap_03,SyntheticNoOverlap,0,mixed_whisper,resources/synthetic_overlap/references/SyntheticNoOverlap_03_silver_reference.json,results/synthetic_transcripts_raw/SyntheticNoOverlap_03_mixed_whisper.json,20,16,4,0.2
SyntheticNoOverlap_03,SyntheticNoOverlap,0,separated_whisper,resources/synthetic_overlap/references/SyntheticNoOverlap_03_silver_reference.json,results/synthetic_transcripts_speaker/SyntheticNoOverlap_03_separated_speaker_transcript.json,20,20,1,0.05
SyntheticNoOverlap_03,SyntheticNoOverlap,0,separated_whisper_cleaned,resources/synthetic_overlap/references/SyntheticNoOverlap_03_silver_reference.json,results/synthetic_transcripts_postprocessed/SyntheticNoOverlap_03_separated_speaker_transcript_cleaned.json,20,20,1,0.05
SyntheticNoOverlap_04,SyntheticNoOverlap,0,mixed_whisper,resources/synthetic_overlap/references/SyntheticNoOverlap_04_silver_reference.json,results/synthetic_transcripts_raw/SyntheticNoOverlap_04_mixed_whisper.json,18,10,9,0.5
SyntheticNoOverlap_04,SyntheticNoOverlap,0,separated_whisper,resources/synthetic_overlap/references/SyntheticNoOverlap_04_silver_reference.json,results/synthetic_transcripts_speaker/SyntheticNoOverlap_04_separated_speaker_transcript.json,18,18,2,0.111111
SyntheticNoOverlap_04,SyntheticNoOverlap,0,separated_whisper_cleaned,resources/synthetic_overlap/references/SyntheticNoOverlap_04_silver_reference.json,results/synthetic_transcripts_postprocessed/SyntheticNoOverlap_04_separated_speaker_transcript_cleaned.json,18,18,2,0.111111
SyntheticNoOverlap_05,SyntheticNoOverlap,0,mixed_whisper,resources/synthetic_overlap/references/SyntheticNoOverlap_05_silver_reference.json,results/synthetic_transcripts_raw/SyntheticNoOverlap_05_mixed_whisper.json,25,26,1,0.04
SyntheticNoOverlap_05,SyntheticNoOverlap,0,separated_whisper,resources/synthetic_overlap/references/SyntheticNoOverlap_05_silver_reference.json,results/synthetic_transcripts_speaker/SyntheticNoOverlap_05_separated_speaker_transcript.json,25,25,1,0.04
SyntheticNoOverlap_05,SyntheticNoOverlap,0,separated_whisper_cleaned,resources/synthetic_overlap/references/SyntheticNoOverlap_05_silver_reference.json,results/synthetic_transcripts_postprocessed/SyntheticNoOverlap_05_separated_speaker_transcript_cleaned.json,25,25,1,0.04
