sample_id,tier,overlap_level,selected_method,decision_rule,mixed_segments_count,separated_segments_count,cleaned_segments_count,mixed_text_length,separated_text_length,cleaned_text_length,text_length_ratio,mixed_runtime_sec,separated_runtime_sec,cleaned_runtime_sec,runtime_ratio,duplicate_removed_count,notes
SyntheticNoOverlap_01,SyntheticNoOverlap,0,separated_whisper,"if overlap_level == 0, choose separated_whisper",2,2,2,33,57,57,1.727273,1.255,0.788,0.788,0.627888,0,Router is rule-based and does not use CER as an input feature. Cleaned transcript is retained as a fallback candidate but not selected by the initial rule.
SyntheticNoOverlap_02,SyntheticNoOverlap,0,separated_whisper,"if overlap_level == 0, choose separated_whisper",2,28,3,30,513,63,17.1,0.766,4.497,4.497,5.870757,25,Router is rule-based and does not use CER as an input feature. Cleaned transcript is retained as a fallback candidate but not selected by the initial rule.
SyntheticNoOverlap_03,SyntheticNoOverlap,0,separated_whisper,"if overlap_level == 0, choose separated_whisper",2,2,2,17,46,46,2.705882,0.511,0.729,0.729,1.426614,0,Router is rule-based and does not use CER as an input feature. Cleaned transcript is retained as a fallback candidate but not selected by the initial rule.
SyntheticNoOverlap_04,SyntheticNoOverlap,0,separated_whisper,"if overlap_level == 0, choose separated_whisper",1,2,2,10,43,43,4.3,0.259,0.527,0.527,2.034749,0,Router is rule-based and does not use CER as an input feature. Cleaned transcript is retained as a fallback candidate but not selected by the initial rule.
SyntheticNoOverlap_05,SyntheticNoOverlap,0,separated_whisper,"if overlap_level == 0, choose separated_whisper",2,2,2,26,50,50,1.923077,0.57,0.66,0.66,1.157895,0,Router is rule-based and does not use CER as an input feature. Cleaned transcript is retained as a fallback candidate but not selected by the initial rule.
SyntheticLightOverlap_01,SyntheticLightOverlap,1,mixed_whisper,"if overlap_level in [1, 2], choose mixed_whisper",3,2,2,32,58,58,1.8125,0.737,0.803,0.803,1.089552,0,Router is rule-based and does not use CER as an input feature. Cleaned transcript is retained as a fallback candidate but not selected by the initial rule.
SyntheticLightOverlap_02,SyntheticLightOverlap,1,mixed_whisper,"if overlap_level in [1, 2], choose mixed_whisper",2,2,2,30,45,45,1.5,0.696,0.712,0.712,1.022989,0,Router is rule-based and does not use CER as an input feature. Cleaned transcript is retained as a fallback candidate but not selected by the initial rule.
SyntheticLightOverlap_03,SyntheticLightOverlap,1,mixed_whisper,"if overlap_level in [1, 2], choose mixed_whisper",2,2,2,23,46,46,2.0,0.648,0.814,0.814,1.256173,0,Router is rule-based and does not use CER as an input feature. Cleaned transcript is retained as a fallback candidate but not selected by the initial rule.
SyntheticLightOverlap_04,SyntheticLightOverlap,1,mixed_whisper,"if overlap_level in [1, 2], choose mixed_whisper",2,2,2,19,43,43,2.263158,0.598,0.636,0.636,1.063545,0,Router is rule-based and does not use CER as an input feature. Cleaned transcript is retained as a fallback candidate but not selected by the initial rule.
SyntheticLightOverlap_05,SyntheticLightOverlap,1,mixed_whisper,"if overlap_level in [1, 2], choose mixed_whisper",2,2,2,24,50,50,2.083333,0.644,0.769,0.769,1.194099,0,Router is rule-based and does not use CER as an input feature. Cleaned transcript is retained as a fallback candidate but not selected by the initial rule.
